Land-Ocean: Northern Hemispheric Means,,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1968,-0.29,-0.16,0.44,-0.01,-0.06,-0.05,-0.08,-0.08,-0.04,0,-0.22,-0.33,-0.07,-0.04,-0.14,0.13,-0.07,-0.09
1969,-0.43,-0.45,-0.19,0.03,0.11,-0.04,0.06,0.05,0.04,0.03,0.15,0.31,-0.03,-0.08,-0.4,-0.02,0.02,0.07
1970,-0.02,0.28,-0.07,-0.02,0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.19,-0.03,-0.02,-0.08
1971,-0.14,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.14,-0.15,-0.17,-0.22,-0.2,-0.14,-0.1
1972,-0.54,-0.52,0.01,-0.11,-0.15,-0.1,-0.05,-0.09,-0.26,-0.04,-0.19,-0.04,-0.17,-0.18,-0.4,-0.09,-0.08,-0.17
1973,0.15,0.44,0.32,0.19,0.09,0.16,0.04,0.03,-0.09,-0.07,-0.09,-0.04,0.09,0.09,0.18,0.2,0.08,-0.08
1974,-0.26,-0.35,0.02,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.2,-0.27,-0.18,-0.16,-0.22,-0.09,-0.14,-0.2
1975,0.16,0.09,0.11,0.05,-0.02,-0.08,-0.06,-0.13,-0.08,-0.18,-0.3,-0.22,-0.05,-0.06,0,0.05,-0.09,-0.19
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.31,-0.25,-0.21,-0.2,-0.1,-0.18,-0.22,-0.31
1977,-0.16,0.11,0.26,0.25,0.23,0.23,0.08,0.02,0.13,-0.02,0.28,0.02,0.12,0.1,-0.1,0.25,0.11,0.13
1978,0.16,0.04,0.21,0.08,-0.06,-0.14,-0.07,-0.14,-0.01,0,0.16,0.02,0.02,0.02,0.08,0.08,-0.12,0.05
1979,-0.05,-0.35,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.54,0.08,0.04,-0.13,0.01,0.06,0.22
1980,0.21,0.41,0.07,0.15,0.26,0.19,0.13,0.09,0.1,0.11,0.2,0.09,0.17,0.21,0.39,0.16,0.14,0.14
1981,0.79,0.62,0.67,0.39,0.18,0.28,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.41,0.18,0.24
1982,-0.13,0.17,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0,-0.11,0.38,0.06,0.07,0.19,0.11,0,-0.02
1983,0.55,0.35,0.42,0.07,0.06,0.11,0.2,0.25,0.26,0.12,0.5,0.11,0.25,0.27,0.43,0.18,0.19,0.29
1984,0.34,0.02,0.18,-0.07,0.23,0.09,0.09,0.06,-0.04,0.09,-0.1,-0.42,0.04,0.08,0.16,0.12,0.08,-0.02
1985,0.07,-0.29,0,-0.03,0.09,0.01,-0.07,-0.02,0.03,0.02,0.03,0.16,0,-0.05,-0.21,0.02,-0.03,0.03
1986,0.36,0.31,0.26,0.15,0.2,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06,0.14,0.14,0.28,0.2,0.06,0.04
1987,0.25,0.5,0,0.07,0.23,0.17,0.26,0.27,0.39,0.22,0.11,0.51,0.25,0.21,0.27,0.1,0.23,0.24
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43,0.37,0.38,0.52,0.45,0.36,0.18
1989,0.08,0.4,0.46,0.32,0.23,0.24,0.32,0.26,0.25,0.25,0.12,0.34,0.27,0.28,0.3,0.34,0.27,0.21
1990,0.48,0.55,1.16,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.39,0.53,0.53,0.45,0.79,0.41,0.46
1991,0.6,0.57,0.46,0.56,0.33,0.48,0.43,0.36,0.36,0.3,0.33,0.21,0.41,0.43,0.52,0.45,0.42,0.33
1992,0.61,0.5,0.55,0.16,0.19,0.05,-0.1,-0.07,-0.18,-0.17,-0.08,0.22,0.14,0.14,0.44,0.3,-0.04,-0.14
1993,0.39,0.52,0.39,0.24,0.32,0.22,0.13,0.03,-0.06,0.13,-0.2,0.22,0.19,0.19,0.38,0.32,0.12,-0.05
1994,0.34,-0.04,0.5,0.49,0.39,0.42,0.34,0.33,0.33,0.55,0.51,0.37,0.38,0.36,0.18,0.46,0.36,0.46
1995,0.75,1.2,0.59,0.72,0.41,0.51,0.38,0.54,0.44,0.6,0.57,0.27,0.58,0.59,0.77,0.58,0.48,0.54
1996,0.27,0.55,0.32,0.18,0.36,0.25,0.29,0.19,0.04,0.05,0.35,0.35,0.27,0.26,0.36,0.29,0.25,0.15
